redpanda_metric_name,datadog_metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
redpanda_memory_available_memory_low_water_mark,redpanda.memory.available_memory_low_water_mark,gauge,,byte,,The low-water mark for available_memory from process start,-1,redpanda,memory available memory low water mark ,
redpanda_memory_free_memory,redpanda.memory.free_memory,gauge,,byte,,Free memory size in bytes,-1,redpanda,memory free memory ,
redpanda_node_status_rpcs_received,redpanda.node_status.rpcs_received,gauge,,request,,Number of node status RPCs received by this node,-1,redpanda,node status rpcs received ,
redpanda_node_status_rpcs_sent,redpanda.node_status.rpcs_sent,gauge,,request,,Number of node status RPCs sent by this node,-1,redpanda,node status rpcs sent ,
redpanda_node_status_rpcs_timed_out,redpanda.node_status.rpcs_timed_out,gauge,,request,,Number of timed out node status RPCs from this node,-1,redpanda,node status rpcs timed out ,
redpanda_raft_leadership_changes,redpanda.raft.leadership_changes,count,,,,Number of leadership changes across all partitions of a given topic,-1,redpanda,raft leadership changes ,
redpanda_raft_learners_gap_bytes,redpanda.raft.learners_gap_bytes,gauge,,,,Total number of bytes that must be delivered to learner replicas to bring them up to date.,-1,redpanda,,
redpanda_raft_recovery_offsets_pending,redpanda.raft.recovery_offsets_pending,gauge,,,,Sum of offsets across partitions on a broker that still need to be recovered.,,redpanda,,
redpanda_raft_recovery_partition_movement_available_bandwidth,redpanda.raft.recovery_bandwidth,gauge,,byte,,Available network bandwidth (in bytes per second) for partition movement operations.,-1,redpanda,raft recovery bandwidth ,
redpanda_raft_recovery_partition_movement_consumed_bandwidth,redpanda.raft.recovery_consumed_bandwidth,gauge,,,,Network bandwidth (in bytes per second) currently being consumed for partition movement.,,redpanda,,
redpanda_raft_recovery_partitions_active,redpanda.raft.recovery_partitions_active,gauge,,,,Number of partition replicas currently undergoing recovery on a broker.,,redpanda,,
redpanda_raft_recovery_partitions_to_recover,redpanda.raft.recovery_partitions_to_recover,gauge,,,,Total count of partition replicas that are pending recovery on a broker.,-1,redpanda,,
redpanda_rest_proxy_inflight_requests_memory_usage_ratio,redpanda.pandaproxy.inflight_requests_memory_usage_ratio,gauge,,,,Memory usage ratio of in-flight requests in the rest_proxy.,,redpanda,,
redpanda_rest_proxy_inflight_requests_usage_ratio,redpanda.pandaproxy.inflight_requests_usage_ratio,gauge,,,,Usage ratio of in-flight requests in the rest_proxy.,,redpanda,,
redpanda_rest_proxy_queued_requests_memory_blocked,redpanda.pandaproxy.queued_requests_memory_blocked,gauge,,,,"Number of requests queued in rest_proxy, due to memory limitations.",,redpanda,,
redpanda_rest_proxy_request_errors_total,redpanda.pandaproxy.request_errors,count,,error,,Total number of rest_proxy server errors,-1,redpanda,pandaproxy request errors ,
redpanda_rest_proxy_request_latency_seconds,redpanda.pandaproxy.request_latency,histogram,,millisecond,,Internal latency of request for rest_proxy,-1,redpanda,pandaproxy request latency ,
redpanda_rpc_active_connections,redpanda.rpc.active_connections,gauge,,connection,,Current number of active RPC client connections on a shard.,-1,redpanda,rpc active connections ,
redpanda_rpc_received_bytes,redpanda.rpc.received_bytes,count,,,,Number of bytes received from the clients in valid requests.,-1,redpanda,,
redpanda_rpc_request_errors_total,redpanda.rpc.request_errors,count,,error,,Number of rpc errors,-1,redpanda,rpc request errors ,
redpanda_rpc_request_latency_seconds,redpanda.rpc.request_latency_seconds,histogram,,second,,Histogram capturing the latency (in seconds) for RPC requests.,-1,redpanda,rpc request latency seconds ,
redpanda_rpc_sent_bytes,redpanda.rpc.sent_bytes,count,,,,Number of bytes sent to clients.,-1,redpanda,,
redpanda_scheduler_runtime_seconds_total,redpanda.scheduler.runtime_seconds,count,,second,,Accumulated runtime of task queue associated with this scheduling group,-1,redpanda,scheduler runtime seconds ,
redpanda_schema_registry_cache_schema_count,redpanda.schema_registry.cache_schema_count,gauge,,,,Cumulative count of bytes read as input to data transforms.,,redpanda,,
redpanda_schema_registry_cache_schema_memory_bytes,redpanda.schema_registry.cache_schema_memory_bytes,gauge,,,,Memory usage (in bytes) by schemas stored in the Schema Registry cache.,,redpanda,,
redpanda_schema_registry_cache_subject_count,redpanda.schema_registry.cache_subject_count,gauge,,,,Count of subjects stored in the Schema Registry cache.,,redpanda,,
